,Date,VWSTX,XLE,EWJ,VWEHX,XLP,VWAHX,VFIIX,XLV,VUSTX,VWESX,XLY,DIA,XLK,SPY,VFITX
0,1998-12-01,10.20071,14.92939,30.093813,1.7905959999999999,16.899193,4.222509,4.100963,19.295713,3.6114319999999998,2.633096,20.297771,57.460266000000004,25.592648,83.58946999999999,4.4337860000000004
1,1999-01-01,10.250487,13.950085000000001,30.857737,1.825204,16.675558,4.300078,4.134924,20.2234,3.6472,2.7083459999999997,21.341785,58.65805400000001,29.661974,86.821449,4.462961
2,1999-02-01,10.270205,13.830162,29.755667,1.8145189999999998,16.500536,4.287987,4.1055410000000006,20.246593,3.4746339999999996,2.609131,21.208251999999998,58.508972,26.720297,84.037201,4.327589
3,1999-03-01,10.278763,15.728817000000001,33.796566,1.8283150000000001,16.45191,4.285641,4.13151,20.780008,3.4222080000000004,2.595772,22.215857999999997,61.669216000000006,28.705940000000002,87.310272,4.351017
4,1999-04-01,10.304542,18.122072,35.265984,1.8528310000000001,15.906279999999999,4.304562000000001,4.14957,21.522154,3.468147,2.6081220000000003,22.823326,68.0009,28.877533000000003,90.84565699999999,4.3643410000000005
5,1999-05-01,10.323103,17.730946,33.245533,1.822428,15.740692000000001,4.275253,4.11521,20.861176,3.408661,2.5652209999999998,21.790318,66.442596,28.975592,88.768417,4.30345
6,1999-06-01,10.316452,18.001728,36.735394,1.813823,15.954977,4.207254,4.084789,21.777262,3.3729660000000004,2.534509,23.163601,69.264175,31.757933,93.402313,4.2923860000000005
7,1999-07-01,10.323103999999999,18.435617,39.490555,1.8143200000000002,15.422116,4.218074,4.058797,21.127882,3.353507,2.5094369999999997,21.466743,67.417198,31.390217,90.778,4.272775
8,1999-08-01,10.335116000000001,18.637220000000003,39.306866,1.795868,15.686166,4.165487000000001,4.053008999999999,20.177015,3.337072,2.499437,20.639221,68.645973,32.493347,90.307877,4.269838
9,1999-09-01,10.373927,17.69981,41.106773,1.7968259999999998,14.238806,4.161032,4.129697,19.898708,3.3675889999999997,2.522768,20.310654,65.850426,32.358517,88.042679,4.316808999999999
10,1999-10-01,10.392750999999999,17.516823000000002,43.687462,1.799794,15.574710999999999,4.103128,4.153,20.90756,3.37144,2.527732,22.143279999999997,68.435982,33.339073,93.94811999999999,4.321905999999999
11,1999-11-01,10.425775,17.486439,44.977821,1.830275,15.623710999999998,4.139431,4.155643,21.151085000000002,3.351958,2.524195,22.155473999999998,69.17465200000001,36.611709999999995,95.512497,4.319116999999999
12,1999-12-01,10.437956,17.557316,48.111519,1.843263,14.447521,4.105899,4.137206,22.925266,3.2978080000000003,2.501404,24.227222,73.437859,42.262184000000005,100.719902,4.277779
13,2000-01-01,10.458989,17.751268,45.673264,1.828925,14.617526999999999,4.056172,4.097467,22.476236,3.339524,2.506918,21.24367,69.87894399999999,39.664467,95.940262,4.258156
14,2000-02-01,10.499788,16.999786,45.116264,1.832216,12.907071,4.118091000000001,4.15552,21.006586,3.439715,2.528049,20.060072,64.85629300000001,43.831944,94.479424,4.3024830000000005
15,2000-03-01,10.532557,19.051138,49.015205,1.814359,13.349426000000001,4.212296,4.226872,22.896132,3.5464879999999996,2.567652,22.854333999999998,69.971298,47.509132,103.37316899999999,4.388274
16,2000-04-01,10.554459,18.829676,45.301933,1.8282060000000002,14.102329000000001,4.1914620000000005,4.221414,22.627869,3.523252,2.535813,22.422112,68.87439,43.145546,99.99614,4.377534
17,2000-05-01,10.576439,21.040728,42.702641,1.8056990000000002,15.108227,4.161267,4.237369999999999,22.021355,3.5064910000000005,2.499937,21.21176,67.462074,38.659386,98.42395,4.3836260000000005
18,2000-06-01,10.656427,19.787457,45.116264,1.8510630000000001,15.92676,4.271276,4.310006,22.068003,3.588977,2.576435,20.02585,66.96686600000001,42.50816,100.125336,4.482267
19,2000-07-01,10.706938000000001,19.125507,40.103352,1.872581,15.380348000000001,4.333933,4.330572,21.741411,3.642,2.617291,20.382637,67.404442,40.252823,98.78520999999999,4.509901999999999
20,2000-08-01,10.758289999999999,21.214160999999997,41.402988,1.90273,15.192552,4.405392,4.399573999999999,22.511236,3.7173220000000002,2.6554349999999998,19.537454999999998,72.30103299999999,44.346748,105.23992199999999,4.582133
21,2000-09-01,10.788969,21.470116,40.664867,1.877171,15.805392000000001,4.3874889999999995,4.446917,21.694754,3.686692,2.664931,19.512953,68.619873,36.379523999999996,99.216957,4.624756
22,2000-10-01,10.832294000000001,20.976822,38.938519,1.843031,16.966875,4.425262,4.472308,22.021355,3.744531,2.683623,19.315794,70.49973299999999,34.295807,99.000923,4.666206
23,2000-11-01,10.870871000000001,19.876575,36.061287,1.7791240000000001,17.552277,4.446394000000001,4.542478,20.015165,3.8570269999999995,2.7257599999999997,18.836889000000003,67.36580699999999,27.260126,91.610222,4.766416
24,2000-12-01,10.950395,21.84057,33.951332,1.82624,18.137686,4.549558,4.604151,20.341749,3.9521669999999998,2.797701,20.113962,68.98620600000001,24.56354,90.85276800000001,4.881254
25,2001-01-01,11.052829,21.207855,35.517723,1.9156689999999998,16.864462,4.588322,4.679687,21.816275,3.963824,2.873623,22.509201,70.28486600000001,29.260517,95.183052,4.946839
26,2001-02-01,11.084747,20.950428,34.000164,1.930411,16.966362,4.6272660000000005,4.705677,21.398160999999998,4.037526000000001,2.909898,20.901966,67.987,21.972851000000002,86.10374499999999,5.012417
27,2001-03-01,11.134521000000001,20.263964,33.063778000000006,1.904443,15.743554000000001,4.682171,4.731783999999999,20.024378,4.010357,2.904228,20.555309,64.289734,19.454718,81.06049300000001,5.034406
